mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name,organism,target protein,target type,target,target name,structural sub_domains,assay type,assay,quantitative measure,unit
1_1-4G2-4-15,1-4G2-4-15,26265529,,P12823,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease,Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (Dengue Virus-2),Genome polyprotein; Envelope protein E,protein,UniProt: P12823 Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (Dengue Virus-2),Genome polyprotein; Envelope protein E,EDIII domain,Binding,ELISA,10,_g/ml
2_1A1D-2,1A1D-2, 18264114;  9657950,2R69,P29991,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; Envelope protein E,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; Envelope protein E,EDIII domain,Binding,ELISA; X-ray crystallography,5.1,ReciprocalendpointELISA titers; log10
3_1A1D-2,1A1D-2, 18264114;  9657950,2R69,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; Envelope protein E,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; Envelope protein E,EDIII domain,Binding,ELISA; X-ray crystallography,5.3,ReciprocalendpointELISAtiters; log10
4_1A1D-2,1A1D-2, 18264114;  9657950,2R69,P29991,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; Envelope protein E,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; Envelope protein E,EDIII domain,Binding,ELISA; X-ray crystallography,5.4,ReciprocalendpointELISAtiters; log10
5_1A1D-2,1A1D-2, 18264114;  9657950,2R69,P29991,11070,Dengue Virus4,Flavivirus,Dengue Virus, 12206; 0050125,dengue hemorrhagic fever,Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; Envelope protein E,Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (Dengue Virus-2),Genome polyprotein; Envelope protein E,EDIII domain,Binding,ELISA; X-ray crystallography,3,ReciprocalendpointELISAtiters; log10
6_2A10G6,2A10G6,24743696,4L5F,B6DXD2,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,dengue virus type 1; dengue virus type 2; Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); dengue virus type 4; West Nile virus (West Nile Virus); Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q6RVA2 West Nile  virus (West Nile Virus);  UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Envelope protein E; EDIII domain,,Neutralization,PRNT50,2,_g/ml
7_2A10G6,2A10G6, 24743696;  20369024,4L5F,Q9Q4T1,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease,dengue virus type 1; dengue virus type 2; Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); dengue virus type 4; West Nile virus (West Nile Virus); Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q6RVA2 West Nile  virus (West Nile Virus);  UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Envelope protein E; EDIII domain,,Neutralization,PRNT50,1.5,_g/ml
8_2A10G6,2A10G6, 27158114;  21264311,5JHL,A0A0X9QZM7,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever,dengue virus type 1; dengue virus type 2; Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); dengue virus type 4; West Nile virus (West Nile Virus); Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q6RVA2 West Nile virus (West Nile Virus); UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Neutralization,PRNT50,249,_g/ml
9_2A10G6,2A10G6, 27158114;  21264311,5JHL,Q99D35,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue disease,dengue virus type 1; dengue virus type 2; Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); dengue virus type 4; West Nile virus (West Nile Virus); Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q6RVA2 West Nile virus (West Nile Virus); UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Neutralization,PRNT50,2.1,_g/ml
10_2A10G6,2A10G6,21264311,5JHL,Q9E100,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever,dengue virus type 1; dengue virus type 2; Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); dengue virus type 4; West Nile virus (West Nile Virus); Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q6RVA2 West Nile virus (West Nile Virus); UniProt: A0A0X9QZM7 Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,,Neutralization,PRNT50,1.8,_g/ml
11_2A10G6,2A10G6, 27158114;  21264311,5JHL,P03314,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever,dengue virus type 1; dengue virus type 2; Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); dengue virus type 4; West Nile virus (West Nile Virus); Zika virus (Zika Virus),Genome polyprotein; Envelope protein E,Protein,UniProt: B6DXD2 dengue virus type 1; UniProt: Q9Q4T1 dengue virus type 2; UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (Dengue Virus-3); UniProt: P03314 Yellow fever virus (strain 17D vaccine) (Yellow Fever Virus); UniProt: Q9E100 dengue virus type 4; UniProt: Q6RVA2 West Nile virus (West Nile Virus); UniProt: A0A0X9QZM7 Zika virus (Zika Virus); ,Genome polyprotein; Envelope protein E,,Neutralization,PRNT50,3.6,_g/ml
