mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name
1_1-4G2-4-15,1-4G2-4-15,26265529,,P12823,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease
2_1A1D-2,1A1D-2, 18264114;  9657950,2R69,P29991,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
3_1A1D-2,1A1D-2, 18264114;  9657950,2R69,P29991,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease
4_1A1D-2,1A1D-2, 18264114;  9657950,2R69,P29991,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
5_1A1D-2,1A1D-2, 18264114;  9657950,2R69,P29991,11070,Dengue Virus4,Flavivirus,Dengue Virus, 12206; 0050125,dengue hemorrhagic fever
6_2A10G6,2A10G6,24743696,4L5F,B6DXD2,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
7_2A10G6,2A10G6, 24743696;  20369024,4L5F,Q9Q4T1,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease
8_2A10G6,2A10G6, 27158114;  21264311,5JHL,A0A0X9QZM7,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
9_2A10G6,2A10G6, 27158114;  21264311,5JHL,Q99D35,11069,Dengue Virus3,Flavivirus,Dengue Virus,12206,dengue disease
10_2A10G6,2A10G6,21264311,5JHL,Q9E100,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
11_2A10G6,2A10G6, 27158114;  21264311,5JHL,P03314,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever
12_2A10G6,2A10G6, 27158114;  21264311,5JHL,Q6RVA2 ,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
13_2B7 Fab,2B7 Fab, 26355030;  33414220,6WEQ; 7K93,Q9J7C6,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
14_2B7 scFv,2B7 scFv, 26355030;  33414220,6WEQ; 7K93,Q9J7C6,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
15_2B7 Fab,2B7 Fab, 26355030;  33414220,6WEQ; 7K93,D0EPS0,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease
16_2B7 scFv,2B7 scFv, 26355030;  33414220,6WEQ; 7K93,D0EPS0,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease
17_6B6C-1,6B6C-1, 19297614;  6198396,,P09732,11080,St. Louis Encephalitis Virus,Flavivirus,St. Louis Encephalitis Virus,10845,St. Louis encephalitis
18_6B6C-1,6B6C-1, 19297614;  6198396,,,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever
19_6B6C-1,6B6C-1, 19297614;  6198396,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever
20_747(4)A11,747(4)A11, 28534525;  25501631;  25581790,5LCV;  5N09; 4UT7,P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease
21_747(4)B7,747(4)B7, 25501631;  25581790,4UT6,P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease
22_752_2C8,752_2C8, 25501631;  25581790,4UT6,P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease
23_753(3)C10,753(3)C10, 27882950;  25501631;  25581790,4UT9; 5H30,A0A024B7W1,64320,Zika Virus,Flavivirus,Zika Virus,60478,zika fever
24_753(3)C10,753(3)C10, 27882950;  25501631;  25581790,4UT9,P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
25_anti_Dengue Virus-1F4,anti_Dengue Virus-1F4,24421336,4C2I,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
26_anti_Dengue Virus-2D22,anti_Dengue Virus-2D22,26138979,4UIH,E0WXJ2; P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
27_anti_Dengue Virus-E104,anti_Dengue Virus-E104,25355881,3J8D,P29990,11060,Dengue Virus2,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
28_anti-Dengue Virus 1C19,anti-Dengue Virus 1C19, 31945137;  24255124,,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
29_anti-Dengue Virus-10_50-11E-H1L1,anti-Dengue Virus-10_50-11E-H1L1,27707930,11E-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
30_anti-Dengue Virus-10_50-1B-H1L1,anti-Dengue Virus-10_50-1B-H1L1,27707930,1B-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
31_anti-Dengue Virus-10_50-1D-H8L1,anti-Dengue Virus-10_50-1D-H8L1,27707930,1D-H8L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
32_anti-Dengue Virus-10_50-3H-H1L1,anti-Dengue Virus-10_50-3H-H1L1,27707930,3H-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
33_anti-Dengue Virus-10_50-4B-H2L1,anti-Dengue Virus-10_50-4B-H2L1,27707930,4B-H2L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
34_anti-Dengue Virus-10_50-5D-H6L2,anti-Dengue Virus-10_50-5D-H6L2,27707930,5D-H6L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
35_anti-Dengue Virus-10_50-6E-H2L2,anti-Dengue Virus-10_50-6E-H2L2,27707930,6E-H2L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
36_anti-Dengue Virus-10_50-7A-H1L1,anti-Dengue Virus-10_50-7A-H1L1,27707930,7A-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
37_anti-Dengue Virus-10_50-7E-H1L1,anti-Dengue Virus-10_50-7E-H1L1,27707930,7E-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
38_anti-Dengue Virus-10_50-7H-H1L1,anti-Dengue Virus-10_50-7H-H1L1,27707930,7H-H1l1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
39_anti-Dengue Virus-10_50-9E-H2L2,anti-Dengue Virus-10_50-9E-H2L2,27707930,9E-H2L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
40_anti-Dengue Virus-10_63-2C-H3L2,anti-Dengue Virus-10_63-2C-H3L2,27707930,2C-H3L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
41_anti-Dengue Virus-10_63-2F-H1L3,anti-Dengue Virus-10_63-2F-H1L3,27707930,2F-H1L3,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
42_anti-Dengue Virus-10_63-5A-H6L1,anti-Dengue Virus-10_63-5A-H6L1,27707930,5A-H6L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
43_anti-Dengue Virus-10_63-5D-H1L2,anti-Dengue Virus-10_63-5D-H1L2,27707930,5D-H1L2,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
44_anti-Dengue Virus-10_63-6C-H1L1,anti-Dengue Virus-10_63-6C-H1L1,27707930,6C-H1L1,P17763,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
45_anti-Dengue Virus-5A12,anti-Dengue Virus-5A12,23851440,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
46_anti-Dengue Virus-5A12,anti-Dengue Virus-5A12,23851440,,,11060,Dengue Virus2,,Dengue Virus,12205; 12206,dengue disease
47_anti-Dengue Virus-5A12,anti-Dengue Virus-5A12,23851440,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
48_anti-Dengue Virus-5A12,anti-Dengue Virus-5A12,23851440,,Q7TGC7,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
49_anti-Dengue Virus-5C30,anti-Dengue Virus-5C30,23851440,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
50_anti-Dengue Virus-5C30,anti-Dengue Virus-5C30,23851440,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever
51_anti-Dengue Virus-5C30,anti-Dengue Virus-5C30,23851440,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
52_anti-Dengue Virus-5C30,anti-Dengue Virus-5C30,23851440,,Q7TGC7,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206; 0050125,dengue hemorrhagic fever
53_anti-Dengue Virus-5E7,anti-Dengue Virus-5E7,23851440,,,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease
54_anti-Dengue Virus-5E7,anti-Dengue Virus-5E7,23851440,,,11060,Dengue Virus2,,Dengue Virus,12205; 12206,dengue disease
55_anti-Dengue Virus-5E7,anti-Dengue Virus-5E7,23851440,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
